PROD_CODE;BASKET_ID
PRD0900725;9,94107E+14
PRD0901527;9,94107E+14
PRD0901977;9,94107E+14
PRD0902163;9,94107E+14
PRD0902394;9,94107E+14
PRD0902411;9,94107E+14
PRD0903336;9,94107E+14
PRD0903389;9,94107E+14
PRD0903395;9,94107E+14
PRD0901369;9,94107E+14
PRD0902129;9,94107E+14
PRD0901168;9,94107E+14
PRD0902479;9,94107E+14
PRD0903788;9,94107E+14
PRD0903819;9,94107E+14
PRD0904184;9,94107E+14
PRD0900280;9,94107E+14
PRD0901441;9,94107E+14
PRD0903199;9,94107E+14
PRD0904358;9,94107E+14
PRD0904780;9,94107E+14
PRD0904888;9,94107E+14
PRD0904184;9,94107E+14
PRD0900454;9,94107E+14
PRD0900700;9,94107E+14
PRD0902405;9,94107E+14
PRD0903127;9,94107E+14
PRD0903463;9,94107E+14
PRD0903788;9,94107E+14
PRD0904363;9,94107E+14
PRD0900384;9,94107E+14
PRD0900400;9,94107E+14
PRD0900830;9,94107E+14
PRD0901133;9,94107E+14
PRD0901194;9,94107E+14
PRD0901860;9,94107E+14
PRD0901965;9,94107E+14
PRD0902008;9,94107E+14
PRD0902265;9,94107E+14
PRD0902767;9,94107E+14
PRD0902801;9,94107E+14
PRD0902969;9,94107E+14
PRD0902970;9,94107E+14
PRD0903523;9,94107E+14
PRD0903925;9,94107E+14
PRD0903940;9,94107E+14
PRD0903993;9,94107E+14
PRD0904434;9,94107E+14
PRD0904511;9,94107E+14
PRD0904615;9,94107E+14
PRD0903639;9,94107E+14
PRD0901499;9,94107E+14
PRD0903270;9,94107E+14
PRD0904663;9,94107E+14
PRD0904917;9,94107E+14
PRD0902817;9,94107E+14
PRD0900218;9,94107E+14
PRD0902968;9,94107E+14
PRD0903229;9,94107E+14
PRD0903787;9,94107E+14
PRD0904358;9,94107E+14
PRD0904469;9,94107E+14
PRD0904945;9,94107E+14
PRD0901348;9,94107E+14
PRD0903678;9,94107E+14
PRD0900218;9,94107E+14
PRD0901802;9,94107E+14
PRD0903988;9,94107E+14
PRD0904857;9,94107E+14
PRD0904881;9,94107E+14
PRD0901338;9,94107E+14
PRD0904248;9,94107E+14
PRD0900254;9,94107E+14
PRD0904434;9,94107E+14
PRD0901007;9,94107E+14
PRD0902118;9,94107E+14
PRD0901506;9,94107E+14
PRD0901219;9,94107E+14
PRD0901809;9,94107E+14
PRD0903211;9,94107E+14
PRD0904441;9,94107E+14
PRD0904444;9,94107E+14
PRD0900162;9,94107E+14
PRD0903437;9,94107E+14
PRD0904366;9,94107E+14
PRD0903703;9,94107E+14
PRD0904797;9,94107E+14
PRD0900173;9,94107E+14
PRD0901003;9,94107E+14
PRD0900332;9,94107E+14
PRD0902140;9,94107E+14
PRD0903788;9,94107E+14
PRD0900296;9,94107E+14
PRD0900302;9,94107E+14
PRD0900407;9,94107E+14
PRD0902069;9,94107E+14
PRD0902540;9,94107E+14
PRD0903053;9,94107E+14
PRD0903093;9,94107E+14
PRD0903214;9,94107E+14
PRD0903270;9,94107E+14
PRD0904679;9,94107E+14
PRD0904878;9,94107E+14
PRD0900745;9,94107E+14
PRD0900465;9,94107E+14
PRD0900907;9,94107E+14
PRD0904209;9,94107E+14
PRD0900034;9,94107E+14
PRD0900078;9,94107E+14
PRD0900713;9,94107E+14
PRD0900761;9,94107E+14
PRD0900997;9,94107E+14
PRD0901837;9,94107E+14
PRD0902099;9,94107E+14
PRD0902603;9,94107E+14
PRD0902852;9,94107E+14
PRD0903007;9,94107E+14
PRD0903078;9,94107E+14
PRD0903228;9,94107E+14
PRD0903270;9,94107E+14
PRD0903560;9,94107E+14
PRD0903835;9,94107E+14
PRD0904358;9,94107E+14
PRD0904391;9,94107E+14
PRD0900168;9,94107E+14
PRD0901228;9,94107E+14
PRD0902840;9,94107E+14
PRD0903750;9,94107E+14
PRD0901877;9,94107E+14
PRD0900027;9,94107E+14
PRD0900463;9,94107E+14
PRD0900676;9,94107E+14
PRD0900899;9,94107E+14
PRD0901083;9,94107E+14
PRD0901265;9,94107E+14
PRD0901584;9,94107E+14
PRD0902019;9,94107E+14
PRD0902365;9,94107E+14
PRD0902390;9,94107E+14
PRD0902408;9,94107E+14
PRD0902897;9,94107E+14
PRD0902907;9,94107E+14
PRD0903052;9,94107E+14
PRD0903529;9,94107E+14
PRD0904092;9,94107E+14
PRD0904469;9,94107E+14
PRD0904945;9,94107E+14
PRD0902129;9,94107E+14
PRD0904340;9,94107E+14
PRD0901070;9,94107E+14
PRD0901316;9,94107E+14
PRD0901699;9,94107E+14
PRD0901983;9,94107E+14
PRD0903571;9,94107E+14
PRD0903612;9,94107E+14
PRD0904371;9,94107E+14
PRD0904418;9,94107E+14
PRD0904817;9,94107E+14
PRD0902679;9,94107E+14
PRD0900907;9,94107E+14
PRD0903487;9,94107E+14
PRD0900265;9,94107E+14
PRD0900838;9,94107E+14
PRD0901152;9,94107E+14
PRD0901255;9,94107E+14
PRD0902347;9,94107E+14
PRD0903184;9,94107E+14
PRD0904183;9,94107E+14
PRD0900493;9,94107E+14
PRD0900121;9,94107E+14
PRD0900202;9,94107E+14
PRD0903588;9,94107E+14
PRD0903776;9,94107E+14
PRD0903253;9,94107E+14
PRD0902453;9,94107E+14
PRD0902671;9,94107E+14
PRD0900009;9,94107E+14
PRD0900200;9,94107E+14
PRD0900324;9,94107E+14
PRD0900380;9,94107E+14
PRD0900395;9,94107E+14
PRD0900398;9,94107E+14
PRD0900649;9,94107E+14
PRD0900830;9,94107E+14
PRD0901088;9,94107E+14
PRD0901561;9,94107E+14
PRD0902140;9,94107E+14
PRD0902170;9,94107E+14
PRD0902292;9,94107E+14
PRD0902472;9,94107E+14
PRD0902887;9,94107E+14
PRD0903136;9,94107E+14
PRD0903460;9,94107E+14
PRD0903620;9,94107E+14
PRD0903835;9,94107E+14
PRD0904250;9,94107E+14
PRD0904273;9,94107E+14
PRD0904332;9,94107E+14
PRD0904976;9,94107E+14
PRD0900052;9,94107E+14
PRD0904029;9,94107E+14
PRD0902129;9,94107E+14
PRD0901901;9,94107E+14
PRD0902507;9,94107E+14
PRD0900109;9,94107E+14
PRD0904140;9,94107E+14
PRD0902352;9,94107E+14
